cleaned_text,emotions,emotion_encoded
really dont like quinn feel like end hurting barney hated lame ted robin storyline,anger,0
feel lousy shouldnt focusing,sadness,4
cant remember ever feeling exhausted took trips car last day get everything brought trailer,sadness,4
wrote two years ago many things feel unsure maybe,fear,1
feel suspicious informality lack credentials,fear,1
receive every month make proud feel appreciative,joy,2
feel third situation pretty much sums feelings toward title,joy,2
wanted feel hands reached take waiting eager mouth,joy,2
feel gentle way wth,love,3
got home feeling hot tired great,love,3
feel creative,joy,2
feel talented use computer,joy,2
feel unfathomably rich healthy pregnancy far,joy,2
wish know whether feel sympathetic towards airline american say plane fire pilot exploded whether want set fire say decided walk obligations save money,love,3
want feel pressured,fear,1
still feel frightened world yet near much used,fear,1
im feeling mellow,joy,2
wake early feel grumpy,anger,0
believe come work place try make feel humiliated know deep heart know one ashamed,sadness,4
finally get laugh left feeling delighted exhausted privileged,joy,2
remembering feeling skeptical,fear,1
pretty brazen goals day feel stronger confident going reach desired end result,joy,2
feel dirty talking people personal gain,sadness,4
sat cold flashed back going hockey city classic degree weather feeling cold even though degree difference night,anger,0
feel numb carry wonder get,sadness,4
somewhat coerced blog review feel bit rushed flustered,anger,0
guess wont feel jealous since often mothering pool nice husband,anger,0
im sure feel needing exercise maintain pleasant demeanor,joy,2
feel alarmed,fear,1
think wanted audiences feel impressed inspired entertained stage,surprise,5
wasnt feeling well yesterday morning afternoon laid bed ended familiar youtube black hole,joy,2
terrible feelings hyped talented,joy,2
take half marathon challenge wait see body feels whether pb attempt casual kilometre shuffle,joy,2
help feel pissed sides debate unnecessary dichotomy,anger,0
feel like cant respected self respect regular hate self,joy,2
smiled feeling longing said maybe later buddy make lunch,love,3
truly unfortunate majority time usually drained obtain hard get bed really feel restless others,fear,1
feeling rather damaged,sadness,4
said feel ugly today,sadness,4
left garmin bike going feel coming transition amazing hearing cheers adrenaline going crazy,joy,2
feel smart find ways trick like,joy,2
love dance often feel inhibited body unsure capable hyper concerned people watching opinions style feeling awkward idea supposed,fear,1
feel like cards perfect thing make,joy,2
feel like heroine tragic manga,sadness,4
feel safer working part time casual hr,joy,2
ambushed apparently fault feel worthless,sadness,4
feel privileged part something eternal precious lord jesus shed blood churches like could exist,joy,2
feel wholly inadequate task,sadness,4
feeling bit naughty scanning article magazine know many people would love read thi,love,3
see pitchers mound little league diamond feel anxious looks isolated,fear,1
feel like joining masses goes rebellion popular mentality ha goth take peace knowing making resolutions everyone else,joy,2
feel disillusioned occult come feel greater connection earth,sadness,4
feel stupid whenever happens,sadness,4
come home feel shitty cant bring work need,sadness,4
feel like irritable sensitive combination skin finally met match,anger,0
like though top makes feel clever association,joy,2
practice meditation feel overwhelmed hopefully become successful peaceful practice,surprise,5
feel like vain cant right feel wrong heart mine,sadness,4
hope everyone help charity work without feeling stressed things,sadness,4
feel guilty putting child daycare,sadness,4
get frustrated unresolved issues past severe negative effect behavior feel must angry resolved,anger,0
feel blessed beyond blessed share life week,love,3
feel devastated things lost remind grateful still,sadness,4
im feeling energetic,joy,2
come understand feelings neither positive negative,joy,2
like asked reason behind mood feeling gloomy laughs,sadness,4
feel really bothered lack time get find inspiration,anger,0
used able hang around talk cashier putting away money feel rushed stressed take second fumble coins put purse,anger,0
feel frustrated world around lies shattered go walk rain body could see eyes full tears delivery system justice conceptualized courts learning hard way,anger,0
realized passionate helping women feel accepted appreciated,joy,2
could change emphasis say stella noticing feeling impatient,anger,0
like outsourcing picky sod usually end feeling dissatisfied work others force outsource need realize everything,anger,0
feel blessed honored get parents,love,3
feel welcomed little weird,joy,2
feel like entertained sd day,joy,2
ive struggled mightily today even though feel cranky tired unmotivated still really going going sleep eleven thirty,anger,0
remember sitting porch feeling drained alone even sunlight bathed hair warm radiance light breeze cooled cheeks,sadness,4
didnt feel rushed things dhawan tweet script type text javascript src http platform,anger,0
realized feeling really irritated saying,anger,0
balancing hands feet hanging feels like pretty far im terrified let drop im totally calm time hanging,fear,1
feel fucking worthless,sadness,4
feel like lot men royally fucked go life wreaking havoc end destroying process,anger,0
feel devastated art style copied,sadness,4
feel fine feeling well fine,joy,2
begin feel distraught must,fear,1
also didnt feel could mad god know inside god nothing without purpose,anger,0
think feeling little drained work well,sadness,4
gather supplies start check progress via internal exam head midwife prepares start iv calmly asks others assistance feel reassured calmness,joy,2
feel crappy eat crappy,sadness,4
feel numb,sadness,4
feel extremely honoured received prestigious award,joy,2
im feeling adventurous successful quest far,joy,2
feel thrilled three distinguished individuals,joy,2
figured parents wont make feel accepted stopped trying turned romantic relationships men,love,3
left feeling empty,sadness,4
feel pretty much like scene href http www,joy,2
may really feeling superior certainly feeling answers wasnt,joy,2
feel ludicrous wasting space trite looked book first come something little original,surprise,5
feel like wimpy canoe floating towards rising tsunami,fear,1
feel sympathetic towards tired weary see split second doubt could make effortless action standing still seem like better option,love,3
start feel unloved unappreciated,sadness,4
want know feeling loving loved,love,3
feel strange talking less serious things right like cooking,fear,1
sometimes urges freak feel bothered usually nothing caused feel bothered irritated scratch arms mad,anger,0
feel miserable doesnt care,sadness,4
surprised cause like ok feel crappy continues like days really try avoid getting sickness,sadness,4
im feeling slightly irritable today,anger,0
like add things already completed day new list feel productive cross,joy,2
always feel rushed emails dont like asa este,anger,0
feel like sweet apple,love,3
impressed show especially hs moved talented kids feel passionate productions music theatre schools always happy endorse many hs productions throughout seasons time,love,3
feel like supporting somehow im sure,joy,2
lot going life feel overwhelmed,fear,1
took granted weeks ago really weird makes feel really agitated frustrated,anger,0
also know feels like relationship feel like burden much worth loving pursuing,love,3
know mean feeling agitated,fear,1
feeling pressured blog bad,fear,1
feel like sociable aaaah,joy,2
didnt feel deprived chai morning,sadness,4
feeling unsure near breaking point,fear,1
remember leaving church feeling invigorated every sunday tuesday night,joy,2
nolonger tell anybody feel im thinking cause seems get hated already,sadness,4
asked meant shes gon na feel jealous loada girls said maybee like bitt,anger,0
feel supporting troops demanding send young men women harm way bear arms country done nothing threaten us point,love,3
feel funny sometimes,surprise,5
feeling crampy cranky,anger,0
indicated feeling quite overwhelmed work responsibilities teaching traveling writing,fear,1
say even feeling embarrassed pause rewind dvred commercials breaking dawn preview comes,sadness,4
spend lot time feeling disappointed better job attaining goals,sadness,4
feel stressed love feeling calming spirit heavenly father feeling keep working,sadness,4
feel thankful greeted many friends families,joy,2
longer feel doomed falling abyss way,sadness,4
bought urban outfitters could fit mm film feeling remorseful ever since,sadness,4
feel accepted,love,3
ive feeling briar beagle would give one disgusted looks even tried exercising souless surroundings,anger,0
need accept treated like princess everyday without feeling dumb situation,sadness,4
got nap feeling really rotten exhausted feel like could wilt onto floor sitting,sadness,4
feel indecisive,fear,1
feel pressure vessel seriously damaged far radiation would leaked said,sadness,4
better things feel humiliated,sadness,4
feel check wonder see got get loving unconditionally,love,3
ive feeling bit melancholy,sadness,4
believe feeling accepted non judgemental way healing,joy,2
feel stressed,sadness,4
feel benevolent enough buy peanuts treats,joy,2
feel fine class pin button count layout horizontal pin,joy,2
feel worthless useless past weeks im certified stander home,sadness,4
feel immensely distracted barrage media receive solicit,anger,0
ive feeling adoring fans would teh whole like friends felt brave excited ventrured forth guitar hand local open mic night,love,3
love captured atmospheric feeling landscapes really impressed,surprise,5
hand started fondling aching cock fabric boxers instinctively arched back feel delicious sensation,joy,2
feeling energized productive creative,joy,2
feeling lucky,joy,2
feel vital keeping spirit young even body fades,joy,2
feel agitated annoyed worried fearful feelings easily lead short tempered family feelings disharmony,fear,1
still feel scared every time go strange place,fear,1
feel author talented,joy,2
feel jaded bored,sadness,4
im pretty sure week half although im feeling kind betrayed disillusioned men moment everythings okay,sadness,4
feel like ive lost mind,sadness,4
could feel breath smell sweet scent,joy,2
could take beliefs feelings lock safe somewhere get human life squared away everyone know would lot happier perhaps,joy,2
feeling sinfully horny sunday morning,love,3
feel like someone listen sympathetic,love,3
ive feeling little blank could think nothing write might interesting explore mind captivated,sadness,4
feel sleep drained head sat dog nudging affection wife wanting affection,sadness,4
feel aid women infertility disorders valuable individual guidance offered restricted number people,joy,2
remember feeling envious would young healthy person envy someone barely survived,anger,0
im still feeling emotional,sadness,4
im last bit sleep get morning feel like emotional energy waits,sadness,4
know nothing going change even feel envious people cant stop feeling jealous people human beings instinct act,anger,0
im happy feel energy inspired crafts,joy,2
struck masculine feel strong graphics deep colors months painting nighthawks edward hopper,joy,2
feel like youre body im trying affectionate feels like im molesting stranger dont even know,love,3
think opposite get feel defeated everything possible keep baby healthy sugars check,sadness,4
trying feel bitter else feel seems desire pretty much impossible,anger,0
feel nagged stop caring,love,3
feel totally useless today,sadness,4
feel honored receive grassroots preservation award,joy,2
feel contented hearing said hellip,joy,2
reminded pavement yurusei yatsura coheed cambria without feeling offended ripped,anger,0
feel positive regard,joy,2
im feeling lot less ugly duckling lot href http,sadness,4
suppose one feeling generous one could say stressed elevator ride,joy,2
im feeling kind melancholy really want go home cuddle boys,sadness,4
feel like people love want need talk connect anymore fucked mental health emotional problems help contribute contain understand encompass,anger,0
feel suffering bear take refuge lord blessed sacrament speak profound silence,sadness,4
feel afraid agn lol whats new,fear,1
writing sharing much story believe heart world needs know riches god feeling angry towards trying bash people leaders parents,anger,0
im feeling dazed alot things mind,surprise,5
feel scared voices start speak,fear,1
feel honoured part bond family much hope chance work sometime future,joy,2
feel insulted pete edochie responds death,anger,0
feel hostile extent,anger,0
always feel pressured,fear,1
electrocuted thumb cant type well cant really know feel fingers acceptable excuse late paper,joy,2
carried phone pocket feel pull get lost,sadness,4
sit writing feel unhappy inside,sadness,4
could feel mother sympathetic dread diagnosed,love,3
get disappointed makes feel rejected especially disappointed loved one,sadness,4
left feeling brow beaten,sadness,4
feeling vulnerable nervous worried anxious bit lost,fear,1
feeling defeated usually pick things easily way getting,sadness,4
certainly acquired taste lately many around seemed feel taste bitter,anger,0
feel rich life real online filled friends family would want live without,joy,2
feel bad saying happy dont think way im going anymore,sadness,4
ive feeling afraid lot lately,fear,1
see momo feel shy momo hmmm gt heyy momo,fear,1
feel amused looking little turtle sneaked,joy,2
purple month doesnt feel surprised fact zhuo feng many pupils clear xiao identity dont even say main star feng young,surprise,5
feel like way humiliated asa guy obssessed played embarrassing joke getting caught tabbys wife tabby lover married blindly fell love,sadness,4
feel like breathing delicate dried rose petals sometimes,love,3
im thankful feel somewhat energetic instead dead fish would become every time every chemo,joy,2
feel honored today want share emotion gratitude received complimentary email someone reads thought provoking perspectives,joy,2
ive tried bare minerals makes feel like face dirty,sadness,4
feel quite passionate old children undergo beauty treatments,joy,2
feel like going struggle fail suffer really dumb,sadness,4
im feel little bit shy talked second manage saw eyes theres something girl,fear,1
love place series real heroes love way couples books fall love feels violent crazy place call home,anger,0
feel lively full bounce,joy,2
always sincere nice feeling sociable compassionate helpful girl,joy,2
feel like obnoxious nagging call times everyday tag alonger finally sick tolerating giving cold shoulder,anger,0
loved feeling got amazing slalom run whether training race,joy,2
feeling especially shy awkward know many people,fear,1
im still feeling little groggy lack sleep shall try replenish,sadness,4
sitting home revising today feeling quite stressed,anger,0
guess feelings meant inhibited prohibited,fear,1
embraced feeling thankful middle wall partition thus far broken,joy,2
began feel strange,fear,1
feel pressured constrained choices behave particular way felt busy,fear,1
one low carb meal bars breakfast feeling smug spotted left pies muffins attractive foods,joy,2
im going life feeling rather totally numb,sadness,4
dont want flowers candy kind guy knows like thinly sliced limes mineral water makes feel glamorous humored pretentious,joy,2
feel unprotected class post count link href http reprogramming process,sadness,4
always feel really confident life choices go home,joy,2
feeling frustrated session attended,anger,0
feel like last year especially gone girl woman despite hesitant always getting older next year twenty four surprised pleased done,fear,1
feel attacked insulted helpful realize idea attack alive well mind,anger,0
ive missed feeling ive missed ive missed something work towards keeps focus keeps phone potential trouble get,sadness,4
im feeling bit uncomfortable,fear,1
know nowhere near worse brethren overseas right feel like im physically emotionally spiritually assaulted,fear,1
feeling reluctant overwhelmed try think alternative abandoning dream,fear,1
usually like sam sometimes gets downright whiny admit mistakes made due sibling rivalry pride eventually led end season kind made feel less tragic whole thing,sadness,4
hope shes feeling generous today treat japanese food something haha great day,joy,2
feeling bit offended,anger,0
offend easily feel intelligence insulted,anger,0
always feel bit awkward comment someone blog invariably go rabbit trails feel though overstepping like tell find feeling way mind slightest,sadness,4
feel like may coming point tv series show incredibly popular sadly writers coming end story lines soon nothing left keep plot float,joy,2
entertaining memory time feeling like guy movie dazed confused says keep getin older girls stay age,surprise,5
continue enforce playdate policy meant continued feel angry twice day horrible morning drop afternoon reminded noah couldnt play bad drop missing mommy,anger,0
woke feeling groggy grumpy like last thing wanted make dinner,sadness,4
wake feeling like something terrifyingly bad bound happen even get chance stick limb outside covers,sadness,4
feel god life ever things wonderful right,joy,2
feel like ive neglectful friend due fact feel like hinderance stay away,sadness,4
know could look upon sea sky without feeling mildly discontent,sadness,4
hate feeling like bullshit ok done bye,joy,2
tasted hari raya cookies feeling greedy would go prebook kueh makmur tart know hygiene standard ingredients,anger,0
sit feeling drained really wonder reach point,sadness,4
buy something go look else didnt buy bit comparison suddenly feel dissatisfied purchase,anger,0
ive feeling incredibly inadequate usual gotten point almost feel paralyzed,sadness,4
im amazed many men say feel unloved house messy fix dinner,sadness,4
feel restless weekend heading way,fear,1
feel ugly cover beautiful blanket make believe gown,sadness,4
always said felt blessed today feeling reassured many times,joy,2
cant strappy shoes work feel weird took thrifted ninewest,fear,1
love fact look best feel terrific eat right constantly exercise,joy,2
decent article knew likely good information initial response feel offended want argue despite fact talking exactly,anger,0
moments feel overwhelmed eyes well tears,fear,1
started feeling thankful food able enjoy delicious things got cooking baking healthy meals family,joy,2
want tag people think silly people want tagged want make feel unwelcome,sadness,4
im taking allowing get sleep wonderful leaving feeling groggy nauseated,sadness,4
feel unpleasant drop stomach elevator doors open floor,sadness,4
feel highly talented bunch roling cyclinders,joy,2
feel hand stay faithful,love,3
focused heavy breathing even strides drops sweat forehead forgot feel socially awkward,sadness,4
cant help feeling way,sadness,4
feel like would order carryout lived area still curious try tacos,surprise,5
feel afraid whatever ad anything happen idc good bad afraid hope god help whatever,fear,1
entered living room horrible feeling aching depths stomach,sadness,4
feel glad finland well known visual artist vesa kivinen called work,joy,2
feel relatively safe normal whatever might call,joy,2
feel bitchy saying think next saturday want alone,anger,0
feel honored shortlisted within patient ambassador volunteer category recognises members public staff provide outstanding help support volunteering providing patient opinions either public partnership forum patients panel,joy,2
feel quite helpless prayer effective tool answers nothing else offer right,sadness,4
know feel pretty disgusted nonstop lefty propaganda ministry churns public tuned,anger,0
feel complacent satisfied,joy,2
ventured fabrics amp fabrics whim yesterday feeling bit nervous knowing would tempted beyond comfor,fear,1
havent feeling homesick knowing getting together enjoy mums cooking make want teleporter,sadness,4
feel ugly hated,sadness,4
feeling whether mad sad disappointed peaceful,anger,0
feel talented enough team win games go deep tournament,joy,2
feel innocent one dream fill brain crazy,joy,2
never feel depressed cancer learnt live sleep,sadness,4
feel pressure falling shoulders im feeling slightly doubtful leads unhappy thoughts usually like optimistic self must say,fear,1
kind feel little petty,anger,0
hostage negotiator case feeling hopeful future,joy,2
believe people choose causes feel passionate right desire push charities worthy another,joy,2
feel privileged allowed sanctum studio many different paintings studies lining walls morph grow week week,joy,2
grew feeling rejected male peers,sadness,4
feel like make valued input tried much possible ensure equal part construction,joy,2
described feeling feeling control completely restless fear could still happen obsession trying fact working,fear,1
feel important fancy room fancy furniture nice view downtown dallas,joy,2
wan na feel good,joy,2
never feel like im supporting,joy,2
want snap simply feel simply live laugh enjoy life matter idiotic,sadness,4
assumed would feel casual,joy,2
admit left feeling shaken bit goose,fear,1
feel dangerous especially new believer grounded word god,anger,0
rearranged furniture flat got stuck chair,anger,0
feeling stressed bit anxious,anger,0
persevered storm rejections feeling confident god called,joy,2
feeling comfortable first fight saw things working expecting better rendall munroe think might underestimated first time around,joy,2
im quite sure really feels im pretty sure realizes going miss getting watch parade something really enjoys,joy,2
feel somewhat fake group,sadness,4
feeling particularly pissed wanted go party,anger,0
feel like im still quite bad describing feelings good words beautiful phrases,sadness,4
feel heartbroken paul walker tragic disappearance life someone generous beautiful talented end way horrible individuals keep living torturing assaulting killing people,sadness,4
feel perfectly mellow,joy,2
feel give credit jen mitchell gorgeous card href http www,joy,2
alternating feeling thrilled see dads family weekend terrified black sheep among normalcy,joy,2
feel sweet boy,love,3
feel helpless superfluous jenn elaine naturally,fear,1
thought didnt feel anything anymore ok well today different story feel want heart hurts thinking wont around still want around guess still valid,joy,2
im feeling better hopefully things start falling back old routine,joy,2
hope feel incredibly cool,joy,2
watched news tv,anger,0
really go looking definately see enjorlas marius ship comes though sadly feel mostly one sided marius nothing rich schoolboy following whims without thoughts concequences,joy,2
feel gracious gesture apologizing latest post osp rand license terms,love,3
get people asking feels like hated man dallas county said assessor steve helm,sadness,4
reported feeling marginalized intimidated subjected threats retaliation,fear,1
im sure im peace situation im feeling bitter past five months something changed within,anger,0
feeling profoundly peaceful,joy,2
feel bad accepting,sadness,4
tried sorting area cat houses lunchtime guess printer ordeal feeling quite uptight put hold,fear,1
made make feel dumb dumber,sadness,4
power feeling justify laziness bitchy skinny girls,anger,0
feel like sweet company finally coming together,love,3
im making mood icons right let see feel think course charming,joy,2
feel like accepted bucking force coming quarters tells something wrong married children,joy,2
apologise pictures good quality youre stuck ideas feel free check websites captions,joy,2
feel fine even though ive burned dinner oops,joy,2
feel divine landmass respect bear heart greatness residing,joy,2
feel like im fond word,love,3
feel vulnerable knowing come feel like rest life depends today,fear,1
feel damn agitated,anger,0
feel confident around always needs help,joy,2
feel annoyingly isolated hostel people talking outside room etc,sadness,4
feel like alcoholism something widely accepted norm gay culture,joy,2
im realizing didnt diet coke today makes feel proud regardless junk consumed today,joy,2
also feel accepted dark side finally realizing dark side healthy,joy,2
spoken feeling getting stronger curious others similar thoughts,surprise,5
feel bit dull,sadness,4
hope understands way feel hope sees could miss putting petty negative thoughts aside,anger,0
feel blessed able share,joy,2
feel little virtuous things hand nini tasted better,joy,2
say want people person feel mellow right,joy,2
pull one favorite books make feel miserable,sadness,4
feel convinced im going shy away whatever really good,joy,2
feel kind awkward goes,sadness,4
feel like surprised development,surprise,5
snuffling feeling dull,sadness,4
need feel creative productive,joy,2
